iter	RMSE
808	6161.701857
809	6157.000601
810	6146.75046
811	6142.247577
812	6132.830088
813	6127.376732
814	6118.676943
815	6113.405948
816	6112.042736
817	6110.276439
818	6109.798357
819	6105.753913
820	6093.950459
821	6093.477966
822	6084.281039
823	6072.697326
824	6065.345592
825	6064.855481
826	6059.183734
827	6051.501753
828	6042.446745
829	6036.675341
830	6029.261516
831	6017.691443
832	6008.566784
833	6007.96682
834	6000.825543
835	5988.291993
836	5977.48849
837	5964.591675
838	5951.118966
839	5950.204684
840	5939.158566
841	5931.559474
842	5921.326145
843	5920.930191
844	5916.837233
845	5916.370809
846	5906.114909
847	5898.51886
848	5887.911348
849	5885.594636
850	5885.226247
851	5875.617954
852	5864.34409
853	5853.545799
854	5832.431104
855	5832.088037
856	5831.762244
857	5818.248592
858	5817.133223
859	5809.820696
860	5805.029224
861	5785.658082
862	5785.310307
863	5777.546939
864	5768.634904
865	5768.340542
866	5762.050063
867	5757.524055
868	5750.634883
869	5739.319497
870	5724.254004
871	5713.331567
872	5705.7911
873	5698.428331
874	5693.170222
875	5686.384533
876	5684.920155
877	5674.841963
878	5674.494485
879	5668.158532
880	5659.665474
881	5649.578039
882	5649.071384
883	5637.850789
884	5632.561977
885	5624.499526
886	5617.892346
887	5616.342961
888	5614.900581
889	5614.635419
890	5614.076463
891	5606.571448
892	5601.234627
893	5592.395269
894	5582.707041
895	5575.467441
896	5564.378858
897	5556.694831
898	5548.337546
899	5540.119211
900	5533.200084
901	5524.004892
902	5513.94325
903	5508.139949
904	5500.500956
905	5494.30088
906	5489.38793
907	5484.743726
908	5484.353688
909	5477.805496
910	5470.787004
911	5458.9189
912	5448.956396
913	5440.68932
914	5440.240211
915	5438.737206
916	5429.038757
917	5422.523673
918	5410.89199
919	5405.944663
920	5404.758843
921	5395.506185
922	5389.842017
923	5385.424076
924	5381.736124
925	5371.61084
926	5363.259216
927	5356.09837
928	5350.284674
929	5342.702349
930	5334.500805
931	5322.826168
932	5313.861382
933	5305.923674
934	5299.715409
935	5293.591082
936	5288.812073
937	5283.248797
938	5272.003699
939	5270.111254
940	5261.375038
941	5260.911176
942	5256.48694
943	5253.179902
944	5249.555387
945	5243.238791
946	5238.565637
947	5233.352584
948	5228.911947
949	5228.552017
950	5224.632933
951	5218.707785
952	5209.00448
953	5208.150778
954	5207.40842
955	5199.020233
956	5192.687469
957	5184.55745
958	5178.502599
959	5171.412859
960	5165.968429
961	5157.269939
962	5147.853448
963	5139.456639
964	5127.554384
965	5124.142154
966	5116.430546
967	5108.77178
968	5102.01598
969	5093.131793
970	5086.301045
971	5080.915314
972	5075.466525
973	5073.814708
974	5062.166929
975	5052.569448
976	5048.045346
977	5042.668561
978	5042.024121
979	5036.472852
980	5029.4625
981	5025.847983
982	5015.614608
983	5008.876123
984	5005.559556
985	4995.355599
986	4988.46865
987	4981.105778
988	4978.197809
989	4975.093644
990	4963.700326
991	4958.103619
992	4950.677882
993	4945.063791
994	4944.688551
995	4937.776925
996	4933.722517
997	4923.816017
998	4917.67223
999	4911.708999
